snid,x0,t0,x1,c,z,snra,sndec
63,2.71657066497e-05,60197.67288,1.13637409788,0.0598539229923,0.3091737,53.4921935896,-27.941112939
64,3.8373553646e-05,60649.5347961,-1.78459951723,-0.0747512993003,0.29932654,53.2956966172,-27.3850723419
66,3.28769991001e-05,60881.6786261,0.307023147589,-0.0764449591965,0.28319514,53.5468497651,-28.6585555944
67,3.44264901797e-05,59746.7282231,0.902152211633,-0.0199760067055,0.28352296,53.2652244302,-28.3153565934
69,3.85500267162e-05,61190.9454556,1.38332079267,0.0183462183003,0.29742026,53.5633983654,-28.6122637344
70,2.75348058424e-05,61419.6016037,0.549439493046,0.0596852263634,0.29855251,53.3949812612,-28.4491490953
71,3.19404400252e-05,60760.925809,-0.97243719977,-0.0219916906182,0.29529881,53.5124894828,-28.1097978339
72,2.26677603422e-05,60528.0683475,0.58062822237,0.127906367906,0.29881358,53.636293989,-28.1536235551
73,4.00967140457e-05,60992.1480814,0.0496134105237,-0.0266186996344,0.2834692,53.7093964253,-28.5232364297
74,3.81637115997e-05,62616.8616837,-0.570067259294,-0.076606103066,0.28103507,53.387964103,-27.9458367842
75,2.006392533e-05,62269.1267554,-0.0732242743855,0.00562473875634,0.30879903,53.1783625792,-27.8953185861
76,2.52305555362e-05,60964.1185693,0.497269334753,0.0360078361869,0.31746137,53.1783489923,-27.9689661757
77,3.53670586497e-05,59627.5132789,1.39960117829,-0.0495271014027,0.30109704,53.5742927109,-28.5732308547
78,3.16166347243e-05,62490.5280275,1.52412104185,0.0383754544127,0.30947089,53.6119072563,-27.9508427158
80,3.6302636385e-05,61706.7998431,0.00112719278974,-0.147700997797,0.30852389,53.4627541089,-27.8709629765
81,2.33411310101e-05,59673.2609378,-0.868157349811,0.0162977171726,0.30549645,53.6833888464,-28.4195707268
82,3.42001593677e-05,61997.0373703,0.725156020423,-0.0725029568237,0.30893683,53.235010024,-27.9104325832
83,2.71697961738e-05,60994.4605044,-0.410603729011,0.0448914448606,0.31101787,53.7212537249,-28.0728738883
84,3.40608357285e-05,61394.3193654,0.528260919684,-0.0430707134265,0.30757701,53.4199719321,-28.4427097288
85,2.4381405642e-05,61094.4063064,-0.0138021387987,0.00666606849409,0.30017102,53.6404878299,-28.1667844735
86,1.4891684025e-05,60860.6824398,-0.480644189465,0.156140080732,0.32282519,53.4604133473,-27.8807141794
87,1.28682888699e-05,61591.0693544,-2.38989996883,0.087411461363,0.30329108,53.6166092453,-28.2059169037
88,2.11650445996e-05,63131.124018,0.1888391275,0.061041083239,0.30190253,53.5730367252,-28.2162612164
89,3.12758782556e-05,59991.6331856,0.551415517356,0.0147713770288,0.30890954,53.2377020214,-27.8953310101
90,3.67133381163e-05,60723.3936288,-0.439264383268,-0.141267014894,0.30862033,53.6342157669,-27.8159277273
91,2.75264543613e-05,59732.5616408,-0.868819069326,-0.10519495826,0.31280529,53.651584049,-27.8130737736
92,3.42778469294e-05,62275.159119,-0.298188046268,-0.119516981544,0.30509472,53.6289193504,-27.7018842075
93,2.15209916002e-05,61979.920215,-1.50863711027,-0.0462877270493,0.3280952,53.1716704183,-28.3653346438
94,2.14633797682e-05,60363.4204744,-1.81241950842,-0.0978245999919,0.33558857,53.6248165753,-27.2976277742
95,3.3731017759e-05,61101.1500567,1.39871943626,-0.106095376555,0.32310033,53.2548430055,-28.4010842999
96,2.56994919295e-05,61930.0230596,0.995160771743,-0.0010448405484,0.32945585,53.6983991002,-28.153719012
97,2.9416955842e-05,61994.4068425,0.786467770076,-0.0716123263899,0.32808352,53.5667407103,-28.0553766436
98,3.52898104687e-05,60202.2415372,1.15704696673,-0.0792848486556,0.32636797,53.6390453616,-28.1926525372
99,3.3573833108e-05,62798.0306605,1.03367194908,-0.0979707953096,0.32305431,53.2838826801,-27.8647695651
100,3.22079261927e-05,62419.7297833,-0.194883915921,-0.0961199172657,0.3288275,53.6389983954,-28.6085359866
101,2.33468345477e-05,60068.9328598,-1.15335301883,-0.0717234029558,0.32734597,53.4446042862,-28.1255948797
102,1.35827760548e-05,62751.5456865,0.162725959669,0.0907540319867,0.3247025,53.7364795552,-28.3690899403
103,2.9137338606e-05,62313.0392557,-0.0373967811027,-0.0589649432055,0.32126415,53.6492948014,-28.0098970321
104,5.44175428031e-05,62494.8376375,1.75651248841,-0.117313385917,0.32125485,53.5579324649,-28.0274267916
105,1.39564876778e-05,61563.2100916,0.175367928624,0.177705390469,0.34761333,53.7505051909,-28.1215129466
106,1.67199661455e-05,60386.05839,0.647693699259,0.0185343409306,0.34480429,53.4320515032,-28.6283765752
107,3.24789683431e-05,62932.3740601,-0.613392793111,-0.120708366483,0.34847271,53.2048934931,-27.8773935703
108,2.19259463619e-05,61741.1087085,0.0637218607389,-0.076505770198,0.35969257,53.6341250788,-27.8683579908
109,2.17589451806e-05,60843.7683695,-0.898879556361,-0.0937751325676,0.35378301,53.5862142737,-27.6611512294
110,2.12559424927e-05,60542.7916319,0.736331444359,-0.0375225577727,0.37469625,53.7056586096,-28.508651334
112,3.12435631799e-05,61112.0344338,1.40962890658,-0.0405661042053,0.35457504,53.3344898216,-27.5456554112
113,2.729623915e-05,61551.6990322,0.539913220848,-0.0668346410673,0.35395479,53.3618356535,-27.4252071607
114,2.23867182326e-05,61800.813876,-0.18277717556,-0.00868660601214,0.35902131,53.7127949964,-27.7059979946
115,2.1948231221e-05,62595.8118738,1.23812479811,0.00240168715641,0.35047519,53.6865288792,-28.1779054363
117,1.68962721176e-05,60224.9993898,1.3169995704,0.0621604720729,0.35461712,53.1938713886,-27.4307396467
118,2.05237681888e-05,61738.0893372,0.878238523669,-0.00947200469389,0.3518486,53.6533224299,-27.7780568255
119,2.45782450476e-05,61365.8215095,1.17094935464,0.0592447122861,0.35249209,53.3723820136,-28.3847209591
120,1.75229125997e-05,61579.8633973,0.16632956068,-0.00126334408935,0.35465467,53.319103903,-27.5368707023
121,2.23703429784e-05,62133.2502622,0.282729029725,-0.0418731955813,0.35452771,53.2137912792,-27.4384824562
122,2.3854075789e-05,60477.2107483,0.207857444303,-0.082335577632,0.35361159,53.6608563308,-27.6761488634
123,1.42661870238e-05,60261.1890814,-1.86015017243,0.0556823527765,0.35801458,53.3700801784,-27.5843313778
124,2.11906401884e-05,59983.6284895,-0.445841043618,0.012188323314,0.3534379,53.723604367,-27.7705731431
125,1.56477677679e-05,60580.3162718,-0.00856384051757,0.0512079018164,0.35341227,53.4065151445,-28.1768401343
126,1.65285604798e-05,59617.4126438,-1.31507144877,0.0209716726221,0.35192597,53.6450512733,-27.7531266162
127,2.62373962109e-05,61877.1629883,0.487111530194,-0.0803417591177,0.35987842,53.2841119908,-28.2482660316
128,1.37358867027e-05,60657.3789141,-0.793912889757,0.0919352539944,0.3740834,53.2849106462,-27.3594281471
129,9.99053450619e-06,60263.5958882,-1.05649630642,0.1222056198,0.37069726,53.1618398826,-28.5315561687
130,2.16480697056e-05,59927.8013908,0.784945884408,-0.0262422474089,0.37254202,53.6075551371,-28.0278106349
131,3.12028099747e-05,60615.7086972,0.509251275639,-0.0792488041538,0.37836027,53.6002571175,-28.4161726062
132,1.64440772907e-05,60364.4740021,-0.678173389703,0.0156790266963,0.37755179,53.3423020236,-27.4062037958
133,1.97614334443e-05,60622.4536288,0.472275804655,-0.0310840902161,0.37614262,53.7347613668,-27.61413633
134,1.88385079838e-05,61300.6459798,0.615628399808,0.0453617967467,0.36060989,53.1727434986,-28.1537798998
135,1.65469762001e-05,61585.663397,-1.4043688958,-0.0122557647014,0.3717581,53.3008274378,-28.485302704
136,1.86057405072e-05,62664.6628718,0.641374070556,0.0163801051479,0.37627518,53.4617402007,-27.2714556981
138,1.97784523738e-05,59758.3685147,0.430688633549,0.03987969481,0.37333655,53.7339224033,-27.3396414599
139,2.35933752277e-05,60427.2316177,0.775053007955,-0.0602129606678,0.37591863,53.2009560526,-28.3364306276
140,1.27270957979e-05,61928.0867095,-0.774588139328,0.0629822804125,0.36832714,53.2301487902,-27.9982787164
142,1.72269730087e-05,62756.0325108,-0.319559155207,0.0188236207121,0.37377417,53.6370505954,-28.6229005999
144,2.34911666947e-05,62287.4058919,-0.566749833546,-0.121943995363,0.37500823,53.5079438781,-28.3429251086
145,1.0760017072e-05,61963.5248733,0.681221829965,0.099323918568,0.37803113,53.6655338197,-28.1419540007
